method,trained_on,eval_on,seed,n_eps,mean_cov,mean_ret
dqn,MATE-2v4-9,MATE-2v4-9,0,90,0.04886703290272219,-0.9350312513845792
dqn,MATE-2v4-9,MATE-4v4-9,0,90,0.1940819552426468,-0.7589861137427053
dqn,MATE-2v4-9,MATE-4v8-9,0,90,0.1905052752142286,-0.776065975294235
dqn,MATE-2v4-9,MATE-8v8-9,0,90,0.3093412270903112,-0.6489930589262966
dqn,MATE-2v4-9,MATE-2v4-9,1,90,0.04116760515793625,-0.948319445747701
dqn,MATE-2v4-9,MATE-4v4-9,1,90,0.15672246055555808,-0.8098888915433134
dqn,MATE-2v4-9,MATE-4v8-9,1,90,0.16027360068997312,-0.8133697945202585
dqn,MATE-2v4-9,MATE-8v8-9,1,90,0.23812053501407457,-0.7246614614168518
dqn,MATE-2v4-9,MATE-2v4-9,2,90,0.04274496653189513,-0.945170141098788
dqn,MATE-2v4-9,MATE-4v4-9,2,90,0.15265077559262782,-0.8126562522578752
dqn,MATE-2v4-9,MATE-4v8-9,2,90,0.16453225811521577,-0.808065975804574
dqn,MATE-2v4-9,MATE-8v8-9,2,90,0.24073235724188957,-0.7235607674515147
dqn,MATE-8v8-9,MATE-2v4-9,0,90,0.05083974162497689,-0.9347673622490321
dqn,MATE-8v8-9,MATE-4v4-9,0,90,0.18711126510128837,-0.7704513919924567
dqn,MATE-8v8-9,MATE-4v8-9,0,90,0.18884124362626914,-0.7773923646889873
dqn,MATE-8v8-9,MATE-8v8-9,0,90,0.30779340519606124,-0.6497864613838222
dqn,MATE-8v8-9,MATE-2v4-9,1,90,0.038612345395352424,-0.94955902914743
dqn,MATE-8v8-9,MATE-4v4-9,1,90,0.16598803962609684,-0.797781253324744
dqn,MATE-8v8-9,MATE-4v8-9,1,90,0.17090355506553867,-0.8023350725233387
dqn,MATE-8v8-9,MATE-8v8-9,1,90,0.2643575318057145,-0.6897638922597656
dqn,MATE-8v8-9,MATE-2v4-9,2,90,0.04970865542540956,-0.9325798623606615
dqn,MATE-8v8-9,MATE-4v4-9,2,90,0.18087926423075243,-0.7825277810903369
dqn,MATE-8v8-9,MATE-4v8-9,2,90,0.18081350333685628,-0.7862309062305334
dqn,MATE-8v8-9,MATE-8v8-9,2,90,0.2875112708274775,-0.66620660090072
tcqmix,MATE-2v4-9,MATE-2v4-9,0,90,0.04302768127553583,-0.9447881957461101
tcqmix,MATE-2v4-9,MATE-4v4-9,0,90,0.16642314110961276,-0.7917777812661371
tcqmix,MATE-2v4-9,MATE-4v8-9,0,90,0.1779714786887814,-0.791932294972422
tcqmix,MATE-2v4-9,MATE-8v8-9,0,90,0.2782897683704648,-0.6844461837754352
tcqmix,MATE-2v4-9,MATE-2v4-9,1,90,0.047769302966852244,-0.9374826402458388
tcqmix,MATE-2v4-9,MATE-4v4-9,1,90,0.19098195096946982,-0.7693680579900198
tcqmix,MATE-2v4-9,MATE-4v8-9,1,90,0.18419963449400226,-0.7831406282374196
tcqmix,MATE-2v4-9,MATE-8v8-9,1,90,0.2940661001974042,-0.6657569477806747
tcqmix,MATE-2v4-9,MATE-2v4-9,2,90,0.04685990277532629,-0.9413333344515801
tcqmix,MATE-2v4-9,MATE-4v4-9,2,90,0.17805127609413549,-0.7813645865486857
tcqmix,MATE-2v4-9,MATE-4v8-9,2,90,0.18288277786657167,-0.7858958361466648
tcqmix,MATE-2v4-9,MATE-8v8-9,2,90,0.2749304874464457,-0.687718753468491
tcqmix,MATE-8v8-9,MATE-2v4-9,0,90,0.048896259452332023,-0.9363298627331258
tcqmix,MATE-8v8-9,MATE-4v4-9,0,90,0.19226804473187262,-0.7667847251332003
tcqmix,MATE-8v8-9,MATE-4v8-9,0,90,0.1827931541363054,-0.7836718774822657
tcqmix,MATE-8v8-9,MATE-8v8-9,0,90,0.29686424897260955,-0.6637881974447131
tcqmix,MATE-8v8-9,MATE-2v4-9,1,90,0.04635631336756575,-0.9413541680906847
tcqmix,MATE-8v8-9,MATE-4v4-9,1,90,0.18642425765550696,-0.7749895866206822
tcqmix,MATE-8v8-9,MATE-4v8-9,1,90,0.183822930448507,-0.7867170169603519
tcqmix,MATE-8v8-9,MATE-8v8-9,1,90,0.2865495989686741,-0.6771145868469224
tcqmix,MATE-8v8-9,MATE-2v4-9,2,90,0.045568387654052925,-0.9381493070179001
tcqmix,MATE-8v8-9,MATE-4v4-9,2,90,0.18924851280671903,-0.7650590305271584
tcqmix,MATE-8v8-9,MATE-4v8-9,2,90,0.18051575129991718,-0.7904184060053214
tcqmix,MATE-8v8-9,MATE-8v8-9,2,90,0.2904620369912832,-0.6692239616733988
