method,trained_on,eval_on,n_seeds,mean_cov,cov_ci_lo,cov_ci_hi,mean_ret,ret_ci_lo,ret_ci_hi
dqn,MATE-2v4-9,MATE-2v4-9,3,0.044259868197517864,0.04116760515793625,0.048867032902722186,-0.9428402794103561,-0.948319445747701,-0.9350312513845792
dqn,MATE-2v4-9,MATE-4v4-9,3,0.16781839713027757,0.15265077559262782,0.1940819552426468,-0.7938437525146314,-0.8126562522578752,-0.7589861137427053
dqn,MATE-2v4-9,MATE-4v8-9,3,0.17177037800647252,0.16027360068997312,0.19050527521422858,-0.7991672485396891,-0.8133697945202586,-0.776065975294235
dqn,MATE-2v4-9,MATE-8v8-9,3,0.2627313731154251,0.23812053501407457,0.3093412270903112,-0.699071762598221,-0.724661461416852,-0.6489930589262966
dqn,MATE-8v8-9,MATE-2v4-9,3,0.04638691414857962,0.038612345395352424,0.05083974162497689,-0.9389687512523746,-0.94955902914743,-0.9325798623606615
dqn,MATE-8v8-9,MATE-4v4-9,3,0.17799285631937922,0.16598803962609684,0.18711126510128837,-0.7835868088025125,-0.797781253324744,-0.7704513919924567
dqn,MATE-8v8-9,MATE-4v8-9,3,0.18018610067622134,0.17090355506553867,0.1888412436262691,-0.7886527811476198,-0.8023350725233387,-0.7773923646889873
dqn,MATE-8v8-9,MATE-8v8-9,3,0.28655406927641774,0.2643575318057145,0.30779340519606124,-0.6685856515147693,-0.6897638922597656,-0.6497864613838222
tcqmix,MATE-2v4-9,MATE-2v4-9,3,0.04588562900590479,0.04302768127553583,0.047769302966852244,-0.941201390147843,-0.9447881957461101,-0.9374826402458388
tcqmix,MATE-2v4-9,MATE-4v4-9,3,0.17848545605773936,0.16642314110961276,0.19098195096946982,-0.7808368086016141,-0.7917777812661372,-0.7693680579900198
tcqmix,MATE-2v4-9,MATE-4v8-9,3,0.1816846303497851,0.1779714786887814,0.18419963449400226,-0.7869895864521688,-0.791932294972422,-0.7831406282374195
tcqmix,MATE-2v4-9,MATE-8v8-9,3,0.2824287853381049,0.2749304874464457,0.2940661001974042,-0.6793072950082003,-0.687718753468491,-0.6657569477806747
tcqmix,MATE-8v8-9,MATE-2v4-9,3,0.04694032015798357,0.04556838765405293,0.048896259452332023,-0.9386111126139035,-0.9413541680906846,-0.9363298627331259
tcqmix,MATE-8v8-9,MATE-4v4-9,3,0.18931360506469955,0.18642425765550696,0.19226804473187262,-0.7689444474270136,-0.7749895866206821,-0.7650590305271584
tcqmix,MATE-8v8-9,MATE-4v8-9,3,0.18237727862824318,0.18051575129991718,0.18382293044850698,-0.7869357668159797,-0.7904184060053213,-0.7836718774822659
tcqmix,MATE-8v8-9,MATE-8v8-9,3,0.2912919616441889,0.2865495989686741,0.29686424897260955,-0.6700422486550114,-0.6771145868469223,-0.6637881974447131
