method,trained_on,eval_on,n,mean_cov,se_cov,mean_ret,se_ret
dqn,MATE-2v4-9,MATE-2v4-9,270,0.044259868197517864,0.0011271830134267176,-0.9428402794103561,0.001520927332808732
dqn,MATE-2v4-9,MATE-4v4-9,270,0.16781839713027757,0.0025812611913690353,-0.7938437525146314,0.0030593467858512752
dqn,MATE-2v4-9,MATE-4v8-9,270,0.1717703780064725,0.0021318346060900475,-0.7991672485396891,0.0022860579124482218
dqn,MATE-2v4-9,MATE-8v8-9,270,0.26273137311542516,0.003079639144321173,-0.699071762598221,0.003461437497319042
dqn,MATE-8v8-9,MATE-2v4-9,270,0.04638691414857962,0.001175977021332647,-0.9389687512523744,0.0016163799376879447
dqn,MATE-8v8-9,MATE-4v4-9,270,0.1779928563193792,0.0024381667989636082,-0.7835868088025125,0.002844377126201631
dqn,MATE-8v8-9,MATE-4v8-9,270,0.18018610067622137,0.0020348326392224093,-0.7886527811476197,0.0022811769545577733
dqn,MATE-8v8-9,MATE-8v8-9,270,0.28655406927641774,0.0027260531402888213,-0.6685856515147693,0.0031256196757845616
tcqmix,MATE-2v4-9,MATE-2v4-9,270,0.04588562900590479,0.0010539127480074435,-0.941201390147843,0.0015483827300889076
tcqmix,MATE-2v4-9,MATE-4v4-9,270,0.17848545605773938,0.0025140519319459278,-0.7808368086016142,0.0029656725731418716
tcqmix,MATE-2v4-9,MATE-4v8-9,270,0.18168463034978513,0.0020244000715793713,-0.7869895864521688,0.0022255865232648415
tcqmix,MATE-2v4-9,MATE-8v8-9,270,0.2824287853381049,0.0024661806581672756,-0.6793072950082003,0.0029009494247396973
tcqmix,MATE-8v8-9,MATE-2v4-9,270,0.04694032015798357,0.0011411281128023859,-0.9386111126139036,0.001484029953109948
tcqmix,MATE-8v8-9,MATE-4v4-9,270,0.18931360506469957,0.0023012180592807178,-0.7689444474270136,0.0027931623571387783
tcqmix,MATE-8v8-9,MATE-4v8-9,270,0.18237727862824318,0.001926030552155644,-0.7869357668159797,0.0022102008930432863
tcqmix,MATE-8v8-9,MATE-8v8-9,270,0.29129196164418897,0.002410069636311715,-0.6700422486550114,0.002723727384055605
