adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
informed,0,1238,-9158.0,greedy,0.2568659127625202,0.6773395017138132,35.139741518578354,0.2640491576275098,MATE-4v8-9,0
informed,1,1206,-9054.0,greedy,0.22014925373134328,0.6477236805526606,35.75456053067993,0.26741787096264713,MATE-4v8-9,0
informed,2,1189,-8738.0,greedy,0.2647182506307822,0.636772827668958,34.64339781328848,0.2669700428531379,MATE-4v8-9,0
informed,3,1039,-8674.0,greedy,0.26756496631376325,0.6358600879232021,32.971126082771896,0.26962166002108257,MATE-4v8-9,0
informed,4,1051,-9810.0,greedy,0.200523311132255,0.6862013717008097,32.350142721217885,0.18877259752616557,MATE-4v8-9,0
informed,5,1177,-9820.0,greedy,0.19318181818181818,0.7354614123859808,35.380628717077315,0.18811445563782012,MATE-4v8-9,0
informed,6,1360,-9214.0,greedy,0.21066176470588235,0.7228962384249239,38.398529411764706,0.21605304621848737,MATE-4v8-9,0
informed,7,1194,-10062.0,greedy,0.18435929648241206,0.7369309987867408,36.27386934673367,0.15838517986759193,MATE-4v8-9,0
informed,8,1338,-9452.0,greedy,0.18880792227204785,0.7270844195989914,37.346038863976084,0.20912965335611072,MATE-4v8-9,0
informed,9,1391,-8916.0,greedy,0.2347232207045291,0.6775507092729333,39.2530553558591,0.24218958611481972,MATE-4v8-9,0
informed,10,1413,-8854.0,greedy,0.24761146496815287,0.6683402187659607,39.417551309271055,0.22795554881542143,MATE-4v8-9,0
informed,11,1414,-9406.0,greedy,0.21207567185289958,0.6761791957237977,36.402404526166904,0.25456152758132955,MATE-4v8-9,0
informed,12,1215,-9864.0,greedy,0.18251028806584363,0.7112886069235677,35.51604938271605,0.20330099941211052,MATE-4v8-9,0
informed,13,1164,-10110.0,greedy,0.179553264604811,0.7235023590291595,35.2680412371134,0.17918507609229256,MATE-4v8-9,0
informed,14,1260,-10258.0,greedy,0.18978174603174602,0.7496856028460129,36.84126984126984,0.15207105064247922,MATE-4v8-9,0
informed,15,1232,-9408.0,greedy,0.19419642857142858,0.7190826930590725,35.46103896103896,0.18988385126777985,MATE-4v8-9,0
informed,16,1251,-9412.0,greedy,0.23261390887290168,0.7283556161208885,36.87609912070344,0.20058619770849986,MATE-4v8-9,0
informed,17,1235,-9558.0,greedy,0.21629554655870445,0.7133092651070926,37.35465587044534,0.1862878349720455,MATE-4v8-9,0
