adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
informed,0,1323,-7674.0,heuristic,0.32303476946334087,0.5036643228361826,35.48979591836735,0.314859806356405,MATE-8v8-9,0
informed,1,1260,-8872.0,heuristic,0.23789682539682538,0.6945956069528277,36.52460317460317,0.25989606953892674,MATE-8v8-9,0
informed,2,1129,-8706.0,heuristic,0.3065766164747564,0.6922694006623068,34.312666076173606,0.2977181660972626,MATE-8v8-9,0
informed,3,1157,-7480.0,heuristic,0.34874675885911843,0.6202901358993658,35.199654278305964,0.3716168662797876,MATE-8v8-9,0
informed,4,1136,-8140.0,heuristic,0.31382042253521125,0.6078524008026222,34.88732394366197,0.3018831740442656,MATE-8v8-9,0
informed,5,1337,-7118.0,heuristic,0.38154450261780104,0.5351506815853386,37.56694091249065,0.4063735441820707,MATE-8v8-9,0
informed,6,1360,-8150.0,heuristic,0.27729779411764705,0.6408736715877813,37.627941176470586,0.30844625350140054,MATE-8v8-9,0
informed,7,1173,-8832.0,heuristic,0.24083546462063085,0.6468778080056358,34.59761295822677,0.2628942881500426,MATE-8v8-9,0
informed,8,1302,-7654.0,heuristic,0.309715821812596,0.5701739595649903,37.86175115207373,0.3428617145783044,MATE-8v8-9,0
informed,9,1257,-7440.0,heuristic,0.3087708830548926,0.6104788371189322,36.51073985680191,0.3654525135432057,MATE-8v8-9,0
informed,10,1367,-6514.0,heuristic,0.38615581565471835,0.46831008262229146,37.71104608632041,0.4145347824572404,MATE-8v8-9,0
informed,11,1288,-7518.0,heuristic,0.3371506211180124,0.5887327961352049,36.475931677018636,0.35681473676427095,MATE-8v8-9,0
informed,12,1227,-8124.0,heuristic,0.30980032599837,0.5885394433907186,36.08720456397718,0.3600739317731983,MATE-8v8-9,0
informed,13,1170,-6566.0,heuristic,0.43824786324786325,0.49212780594165817,35.87692307692308,0.42403235653235655,MATE-8v8-9,0
informed,14,1283,-7640.0,heuristic,0.3273577552611068,0.5367451555790034,38.01325019485581,0.3178126043870393,MATE-8v8-9,0
informed,15,1458,-7762.0,heuristic,0.3164437585733882,0.6432406951922882,39.98079561042524,0.31887860082304526,MATE-8v8-9,0
informed,16,1110,-8556.0,heuristic,0.28265765765765766,0.5919993689433115,33.585585585585584,0.2677262977262977,MATE-8v8-9,0
informed,17,1152,-8948.0,heuristic,0.2658420138888889,0.6670869705486167,35.14409722222222,0.2534494874338624,MATE-8v8-9,0
informed,18,1177,-8452.0,heuristic,0.2623194562446899,0.616854865003517,34.27782497875956,0.260918598535421,MATE-8v8-9,0
informed,19,1054,-8258.0,heuristic,0.3014705882352941,0.6043408535006427,33.276091081593925,0.29855200144573957,MATE-8v8-9,0
informed,20,1393,-6972.0,heuristic,0.36898779612347454,0.5261254661862607,37.71715721464465,0.3647805353297098,MATE-8v8-9,0
informed,21,1146,-7748.0,heuristic,0.33584205933682376,0.5771194755870633,33.882198952879584,0.322937962270423,MATE-8v8-9,0
informed,22,1398,-8590.0,heuristic,0.3013233190271817,0.6426683512038506,37.86981402002861,0.2389587165338238,MATE-8v8-9,0
informed,23,1267,-9026.0,heuristic,0.24230465666929754,0.6628218335858326,35.81610102604578,0.24708911188784907,MATE-8v8-9,0
informed,24,1242,-7712.0,heuristic,0.3511473429951691,0.5884055114102469,35.52818035426731,0.35951901694655314,MATE-8v8-9,0
informed,25,1134,-8982.0,heuristic,0.26322751322751325,0.6516540017737796,34.623456790123456,0.24009721172419585,MATE-8v8-9,0
informed,26,1345,-9118.0,heuristic,0.2316914498141264,0.6802021895132504,37.22602230483271,0.20909453000531067,MATE-8v8-9,0
informed,27,1233,-8870.0,heuristic,0.2483779399837794,0.6302081663011728,36.2441200324412,0.23285154288803922,MATE-8v8-9,0
informed,28,1368,-8524.0,heuristic,0.24917763157894737,0.6440205225934857,35.66593567251462,0.2604958576998051,MATE-8v8-9,0
informed,29,1063,-7450.0,heuristic,0.3478363123236124,0.5354977555655455,32.377234242709314,0.35302266720422887,MATE-8v8-9,0
informed,0,1254,-6582.0,heuristic,0.3940390749601276,0.4582357025902021,33.90590111642743,0.38327637275005694,MATE-8v8-9,1
informed,1,1308,-9022.0,heuristic,0.24407492354740062,0.7158721350608551,36.785168195718654,0.2572129386922965,MATE-8v8-9,1
informed,2,1212,-8108.0,heuristic,0.34612211221122113,0.6249606520573491,35.40181518151815,0.31253732516108756,MATE-8v8-9,1
informed,3,1088,-7970.0,heuristic,0.3219209558823529,0.5831530738538506,34.341911764705884,0.35642616421568624,MATE-8v8-9,1
informed,4,1327,-8090.0,heuristic,0.2888093443858327,0.6469748884247336,36.663903541823665,0.2920066745613091,MATE-8v8-9,1
informed,5,1137,-7218.0,heuristic,0.35697009674582236,0.5562055467181607,32.884784520668426,0.3383371026510868,MATE-8v8-9,1
informed,6,1168,-7402.0,heuristic,0.3478167808219178,0.6351273244232468,35.7166095890411,0.386010885518591,MATE-8v8-9,1
informed,7,1257,-8298.0,heuristic,0.3424821002386635,0.641726132130135,35.75258552108194,0.3428400954653938,MATE-8v8-9,1
informed,8,1289,-8250.0,heuristic,0.2924747866563227,0.5434562253994704,36.57176105508146,0.25702371716723926,MATE-8v8-9,1
informed,9,1297,-7320.0,heuristic,0.3587124132613724,0.5450437346377055,37.555898226676945,0.336485295737416,MATE-8v8-9,1
informed,10,1301,-7824.0,heuristic,0.3130284396617986,0.5602111655719535,34.283627978478094,0.31056330295377177,MATE-8v8-9,1
informed,11,1029,-8378.0,heuristic,0.3097667638483965,0.6423412728571449,33.15743440233236,0.29085450506733307,MATE-8v8-9,1
informed,12,1267,-8464.0,heuristic,0.2947908445146014,0.6480231295083326,37.48066298342541,0.2841695794339835,MATE-8v8-9,1
informed,13,1080,-7176.0,heuristic,0.350462962962963,0.5119069696313463,33.96388888888889,0.3602876984126984,MATE-8v8-9,1
informed,14,1065,-8390.0,heuristic,0.28779342723004697,0.6421689335281245,32.902347417840375,0.29552537446903643,MATE-8v8-9,1
informed,15,1176,-8096.0,heuristic,0.28475765306122447,0.6318240638238777,33.976190476190474,0.29766055231616456,MATE-8v8-9,1
informed,16,1159,-8394.0,heuristic,0.3201035375323555,0.6300152100757569,35.41156169111303,0.28921689469575573,MATE-8v8-9,1
informed,17,1298,-7560.0,heuristic,0.2986325115562404,0.5705452420399849,36.889830508474574,0.3150818108445227,MATE-8v8-9,1
informed,18,1567,-8274.0,heuristic,0.31612954690491385,0.6882370205518467,40.39502233567326,0.3076389521986203,MATE-8v8-9,1
informed,19,1116,-8632.0,heuristic,0.2867383512544803,0.629486706899603,31.81810035842294,0.2757680491551459,MATE-8v8-9,1
informed,20,1039,-8542.0,heuristic,0.3251924927815207,0.6446069105944527,33.12512030798845,0.295077684586828,MATE-8v8-9,1
informed,21,1167,-8938.0,heuristic,0.2583547557840617,0.6526095362439631,34.28191945158526,0.2531164565226262,MATE-8v8-9,1
informed,22,1515,-7690.0,heuristic,0.317986798679868,0.5972676837586157,39.07986798679868,0.3167075278956467,MATE-8v8-9,1
informed,23,1245,-8294.0,heuristic,0.27901606425702813,0.5740045675779113,34.93493975903615,0.29892809332568365,MATE-8v8-9,1
informed,24,1211,-9148.0,heuristic,0.2503096614368291,0.7033544621191019,35.819983484723366,0.2699638236797609,MATE-8v8-9,1
informed,25,1170,-7726.0,heuristic,0.33076923076923076,0.6079762220906371,35.74017094017094,0.35010378510378504,MATE-8v8-9,1
informed,26,1166,-7126.0,heuristic,0.36149228130360206,0.5333125579854806,33.52401372212693,0.3880615453728661,MATE-8v8-9,1
informed,27,1290,-7810.0,heuristic,0.34718992248062014,0.5665538325946539,35.151162790697676,0.302515688445921,MATE-8v8-9,1
