baseline,checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_energy_remaining,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
naive,,0,1384,-7078.0,0.414378612716763,nan,0.5718378386949515,38.51300578034682,0.41897450454170104,MATE-4v8-9,0
naive,,1,1367,-7006.0,0.36951353328456477,nan,0.5811332818551075,38.80321872713972,0.387654579022538,MATE-4v8-9,0
naive,,2,1250,-6918.0,0.3879,nan,0.5836215667506504,36.3152,0.41332380952380954,MATE-4v8-9,0
naive,,3,1211,-6906.0,0.4151527663088357,nan,0.5937977003760595,36.31874483897605,0.41269808501435257,MATE-4v8-9,0
naive,,4,1299,-6828.0,0.4133949191685912,nan,0.5442127656664019,36.91916859122402,0.4115583415814362,MATE-4v8-9,0
naive,,5,1397,-7370.0,0.3903006442376521,nan,0.633840335924896,38.41088045812455,0.35620973514674303,MATE-4v8-9,0
naive,,6,1133,-7024.0,0.3990511915269197,nan,0.572639198919894,33.40158870255958,0.3762577228596646,MATE-4v8-9,0
naive,,7,1326,-6958.0,0.4276018099547511,nan,0.5643726805940127,38.82051282051282,0.38062019679666736,MATE-4v8-9,0
naive,,8,1171,-7268.0,0.43157557643040134,nan,0.629595566861588,35.39538855678907,0.36890427392135333,MATE-4v8-9,0
naive,,9,1114,-6598.0,0.44670107719928187,nan,0.5679765623003832,33.66427289048474,0.4231437548089253,MATE-4v8-9,0
naive,,10,1290,-6364.0,0.45232558139534884,nan,0.5676148018516334,37.02248062015504,0.42422572905131045,MATE-4v8-9,0
naive,,11,1323,-7120.0,0.3794406651549509,nan,0.5610653361080975,35.15041572184429,0.3891300435518123,MATE-4v8-9,0
naive,,12,1173,-6740.0,0.43691389599317987,nan,0.5900406669013454,35.10400682011935,0.44220963747817965,MATE-4v8-9,0
naive,,13,1106,-7620.0,0.3858499095840868,nan,0.5821345174993139,34.625678119349004,0.38399530698355294,MATE-4v8-9,0
naive,,14,1291,-6566.0,0.40850116189000774,nan,0.6149636928814578,37.70565453137103,0.41146859208439374,MATE-4v8-9,0
naive,,15,1258,-7304.0,0.3594992050874404,nan,0.6398176054425981,36.73847376788553,0.34589105912635326,MATE-4v8-9,0
naive,,16,1129,-7488.0,0.3799822852081488,nan,0.6181822007453857,35.00974313551816,0.37077164789742295,MATE-4v8-9,0
naive,,17,1274,-7678.0,0.426903453689168,nan,0.6362374016464507,37.724489795918366,0.3925655976676385,MATE-4v8-9,0
naive,,18,1472,-6270.0,0.43979279891304346,nan,0.5108969886794218,36.60054347826087,0.43477613871635606,MATE-4v8-9,0
naive,,19,1223,-6870.0,0.40658217497955845,nan,0.5802850213020765,35.77923139820115,0.37051162247401004,MATE-4v8-9,0
